City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Arraial Do Cabo,BR,-22.9661,-42.0278,76.24,89,100,16.6,overcast clouds
336,Geraldton,AU,-28.7667,114.6,72.01,94,40,6.91,scattered clouds
337,Labuhan,ID,-6.8844,112.2051,78.1,84,100,3.71,overcast clouds
338,Sungaipenuh,ID,-2.0833,101.3833,61.48,79,91,2.15,overcast clouds
339,Lesogorsk,RU,56.0458,99.5136,24.73,82,99,8.3,overcast clouds
340,Husavik,IS,66.0449,-17.3389,35.76,92,100,6.06,overcast clouds
341,Stromness,GB,58.965,-3.296,38.88,80,93,10.0,overcast clouds
342,Callaway,US,30.153,-85.5699,64.96,80,75,4.61,broken clouds
343,Terney,RU,45.0503,136.6092,42.08,52,14,5.99,few clouds
344,Kokopo,PG,-4.352,152.2633,75.65,90,100,7.36,light rain
345,Shengjin,AL,41.8136,19.5939,42.84,68,94,11.95,overcast clouds
